student_id,student_email,first_name,last_name,course,year_level
2024001,juan.delacruz@gmail.com,Juan,Dela Cruz,BSIT,1
2024002,maria.santos@gmail.com,Maria,Santos,BSCS,2
2024003,pedro.reyes@gmail.com,Pedro,Reyes,BSIT,3
2024004,ana.lopez@gmail.com,Ana,Lopez,BSBA,1
2024005,mark.villanueva@gmail.com,Mark,Villanueva,BSECE,4
2024006,jasmine.cruz@gmail.com,Jasmine,Cruz,BSIT,2
2024007,robert.garcia@gmail.com,Robert,Garcia,BSCS,3
2024008,angelica.mendoza@gmail.com,Angelica,Mendoza,BSBA,4
2024009,christian.flores@gmail.com,Christian,Flores,BSIT,1
2024010,pauline.ramos@gmail.com,Pauline,Ramos,BSCS,2
